
📏 Alignment OK: 237 samples (index 0..236)
Gold label distribution: {'Direct Reply': 85, 'Direct Non-Reply': 35, 'Indirect': 117}
[001/237] True=Direct Reply | Pred=Direct Non-Reply | ❌ | votes={'Indirect': 1, 'Direct Non-Reply': 2} | max_toks=208
[227/237] True=Direct Reply | Pred=Direct Reply | ✅ | votes={'Direct Reply': 3} | max_toks=261
[228/237] True=Indirect | Pred=Direct Non-Reply | ❌ | votes={'Direct Non-Reply': 3} | max_toks=238
[229/237] True=Direct Reply | Pred=Direct Reply | ✅ | votes={'Direct Non-Reply': 1, 'Direct Reply': 2} | max_toks=230
[230/237] True=Direct Reply | Pred=Direct Non-Reply | ❌ | votes={'Indirect': 1, 'Direct Non-Reply': 2} | max_toks=214
[231/237] True=Indirect | Pred=Direct Non-Reply | ❌ | votes={'Direct Non-Reply': 2, 'Indirect': 1} | max_toks=232
[232/237] True=Direct Reply | Pred=Direct Reply | ✅ | votes={'Direct Reply': 3} | max_toks=223
[233/237] True=Indirect | Pred=Direct Reply | ❌ | votes={'Direct Reply': 3} | max_toks=223
[234/237] True=Indirect | Pred=Direct Reply | ❌ | votes={'Direct Reply': 2, 'Indirect': 1} | max_toks=300
[235/237] True=Indirect | Pred=Direct Reply | ❌ | votes={'Direct Reply': 2, 'Indirect': 1} | max_toks=300
[236/237] True=Indirect | Pred=Direct Reply | ❌ | votes={'Direct Reply': 3} | max_toks=300
[237/237] True=Indirect | Pred=Direct Non-Reply | ❌ | votes={'Indirect': 1, 'Direct Non-Reply': 2} | max_toks=266

🏁 GOLD EVAL Accuracy: 95/237 = 40.1%
📏 Token usage: p95=300, cap_rate=10.5% (max_new_tokens=300)
⚠️ More than 10% of samples hit token cap. Consider increasing GOLD_MAX_NEW_TOKENS (e.g., 384 or 512).

Confusion matrix:
pred              Direct Non-Reply  Direct Reply  Indirect
true                                                      
Direct Non-Reply                34             0         1
Direct Reply                    34            46         5
Indirect                        71            31        15

💾 Saved: /kaggle/working/granite_lora_trained/gold_eval_predictions.json
💾 Saved: /kaggle/working/granite_lora_trained/gold_eval_predictions.csv
💾 Saved: /kaggle/working/granite_lora_trained/gold_eval_confusion_matrix.csv



